strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
030902040201,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902040202,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902040203,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902040204,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902040205,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902040206,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902040207,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902040301,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902040302,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902040303,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902040304,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902040305,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902040401,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902040402,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902040403,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902040404,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902040405,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902040406,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902040501,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902040502,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902040601,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902040602,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902040700,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902040901,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902040902,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902040903,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902040904,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902040905,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902040906,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902041000,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902050202,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902050203,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902050204,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902050205,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902050206,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
